frozenset({'2'}):41183
frozenset({'4'}):41294
frozenset({'0'}):39321
frozenset({'9'}):41361
frozenset({'8'}):41541
frozenset({'6'}):40864
frozenset({' '}):42538
frozenset({'3'}):41074
frozenset({'5'}):41303
frozenset({'1'}):41060
frozenset({'7'}):41462
frozenset({'1', '6'}):39734
frozenset({' ', '7'}):41462
frozenset({'7', '3'}):40197
frozenset({'8', '3'}):40239
frozenset({'4', '8'}):40436
frozenset({'5', '2'}):40138
frozenset({' ', '2'}):41183
frozenset({'4', '6'}):39853
frozenset({'0', '9'}):38498
frozenset({'5', '3'}):40079
frozenset({'7', '9'}):40401
frozenset({'4', '5'}):40224
frozenset({'4', '3'}):40099
frozenset({' ', '8'}):41541
frozenset({'6', '2'}):39790
frozenset({'4', '2'}):40094
frozenset({'8', '6'}):40079
frozenset({'1', '3'}):39833
frozenset({' ', '5'}):41303
frozenset({'1', '9'}):40123
frozenset({' ', '3'}):41074
frozenset({'4', ' '}):41294
frozenset({'1', '2'}):39950
frozenset({'5', '8'}):40481
frozenset({'3', '2'}):39985
frozenset({'0', '5'}):38479
frozenset({'7', '6'}):40017
frozenset({' ', '1'}):41060
frozenset({'5', '7'}):40394
frozenset({' ', '9'}):41361
frozenset({'9', '3'}):40052
frozenset({'0', '7'}):38547
frozenset({'4', '0'}):38467
frozenset({'5', '9'}):40282
frozenset({'7', '8'}):40590
frozenset({'0', '8'}):38590
frozenset({'9', '8'}):40477
frozenset({'0', '2'}):38325
frozenset({'1', '7'}):40160
frozenset({'4', '1'}):40080
frozenset({'8', '2'}):40378
frozenset({'4', '9'}):40261
frozenset({'0', '6'}):38070
frozenset({'0', ' '}):39321
frozenset({'5', '1'}):40053
frozenset({'4', '7'}):40399
frozenset({'9', '2'}):40240
frozenset({'1', '8'}):40223
frozenset({'7', '2'}):40264
frozenset({' ', '6'}):40864
frozenset({'3', '6'}):39638
frozenset({'0', '1'}):38238
frozenset({'9', '6'}):39918
frozenset({'0', '3'}):38309
frozenset({'5', '6'}):39812
frozenset({'0', '1', '3'}):37351
frozenset({'9', '8', '3'}):39298
frozenset({'5', '7', '8'}):39669
frozenset({'7', '8', '6'}):39328
frozenset({'4', '8', '3'}):39361
frozenset({'5', ' ', '2'}):40138
frozenset({' ', '1', '5'}):40053
frozenset({'0', '5', '6'}):37339
frozenset({' ', '1', '6'}):39734
frozenset({'5', '9', '6'}):38989
frozenset({'7', '9', '3'}):39269
frozenset({'5', '7', '3'}):39327
frozenset({' ', '9', '8'}):40477
frozenset({'1', '2', '6'}):38817
frozenset({'6', '7', '2'}):39035
frozenset({'5', '7', '2'}):39342
frozenset({'0', '8', '3'}):37662
frozenset({'3', '9', '2'}):39136
frozenset({'1', '9', '3'}):39013
frozenset({'0', ' ', '7'}):38547
frozenset({'1', '7', '6'}):38999
frozenset({'0', ' ', '5'}):38479
frozenset({'0', ' ', '6'}):38070
frozenset({'5', '1', '6'}):38839
frozenset({'4', '9', '2'}):39255
frozenset({'4', '0', '8'}):37826
frozenset({'5', '6', '3'}):38774
frozenset({'7', '9', '6'}):39157
frozenset({' ', '1', '3'}):39833
frozenset({'0', '5', '7'}):37802
frozenset({'0', '3', '6'}):37185
frozenset({'4', '5', '8'}):39500
frozenset({'3', ' ', '2'}):39985
frozenset({'4', '8', '6'}):39160
frozenset({' ', '5', '6'}):39812
frozenset({' ', '9', '6'}):39918
frozenset({' ', '6', '3'}):39638
frozenset({'4', '8', '2'}):39378
frozenset({' ', '7', '9'}):40401
frozenset({'5', ' ', '3'}):40079
frozenset({'0', '7', '2'}):37647
frozenset({'4', '1', '8'}):39329
frozenset({'1', '9', '8'}):39370
frozenset({'9', '8', '2'}):39519
frozenset({'4', ' ', '3'}):40099
frozenset({'0', ' ', '1'}):38238
frozenset({'0', ' ', '2'}):38325
frozenset({'5', '1', '2'}):39081
frozenset({'4', '7', '2'}):39328
frozenset({'5', '1', '3'}):39007
frozenset({'4', '7', '3'}):39339
frozenset({'4', '5', '9'}):39319
frozenset({'4', '9', '3'}):39185
frozenset({'6', '9', '2'}):39019
frozenset({'5', '6', '2'}):38854
frozenset({'7', '2', '3'}):39217
frozenset({'0', '5', '8'}):37877
frozenset({' ', '7', '8'}):40590
frozenset({'4', '1', '6'}):38889
frozenset({'7', '8', '2'}):39549
frozenset({'0', '7', '9'}):37801
frozenset({'4', ' ', '9'}):40261
frozenset({'1', '8', '3'}):39109
frozenset({'5', '9', '8'}):39543
frozenset({'0', '6', '2'}):37258
frozenset({'0', '4', '7'}):37795
frozenset({'4', '5', '0'}):37733
frozenset({'0', '4', '9'}):37723
frozenset({'6', '8', '3'}):38966
frozenset({'4', ' ', '2'}):40094
frozenset({' ', '6', '2'}):39790
frozenset({'0', '1', '2'}):37399
frozenset({'5', '8', '2'}):39462
frozenset({'4', '1', '7'}):39304
frozenset({' ', '8', '6'}):40079
frozenset({'3', '5', '2'}):39118
frozenset({'7', '9', '2'}):39393
frozenset({'4', '9', '6'}):38997
frozenset({'0', ' ', '3'}):38309
frozenset({'3', '1', '6'}):38657
frozenset({' ', '8', '2'}):40378
frozenset({'4', '7', '6'}):39149
frozenset({'4', '5', '3'}):39206
frozenset({'0', '8', '6'}):37503
frozenset({' ', '1', '8'}):40223
frozenset({'1', '2', '3'}):38930
frozenset({'5', '7', '6'}):39090
frozenset({'4', ' ', '0'}):38467
frozenset({'6', '9', '3'}):38801
frozenset({'5', '9', '3'}):39164
frozenset({' ', '7', '2'}):40264
frozenset({'0', '5', '2'}):37611
frozenset({' ', '1', '2'}):39950
frozenset({'0', '1', '6'}):37228
frozenset({' ', '5', '9'}):40282
frozenset({' ', '9', '3'}):40052
frozenset({'0', '1', '7'}):37574
frozenset({' ', '5', '7'}):40394
frozenset({'7', '9', '8'}):39633
frozenset({'5', '8', '3'}):39376
frozenset({'4', '7', '8'}):39636
frozenset({'5', '1', '8'}):39340
frozenset({'0', '5', '9'}):37744
frozenset({'0', '7', '3'}):37668
frozenset({' ', '1', '9'}):40123
frozenset({'6', '8', '2'}):39122
frozenset({'0', '9', '6'}):37399
frozenset({'7', '6', '3'}):38932
frozenset({'1', '9', '2'}):39173
frozenset({'0', '1', '8'}):37601
frozenset({'4', ' ', '8'}):40436
frozenset({'3', '6', '2'}):38765
frozenset({'0', '7', '8'}):37892
frozenset({'5', '1', '7'}):39276
frozenset({'1', '7', '9'}):39311
frozenset({'1', '7', '3'}):39080
frozenset({'0', ' ', '9'}):38498
frozenset({'5', '1', '9'}):39224
frozenset({'1', '9', '6'}):38926
frozenset({'5', '9', '2'}):39298
frozenset({'4', '2', '6'}):38876
frozenset({' ', '8', '3'}):40239
frozenset({'4', '5', '2'}):39172
frozenset({'4', '5', '1'}):39185
frozenset({'0', '9', '3'}):37576
frozenset({' ', '1', '7'}):40160
frozenset({'0', '5', '3'}):37602
frozenset({'4', '5', ' '}):40224
frozenset({'0', '7', '6'}):37416
frozenset({'4', '9', '8'}):39497
frozenset({'7', '8', '3'}):39448
frozenset({'5', '8', '6'}):39136
frozenset({'9', '8', '6'}):39210
frozenset({'4', '0', '3'}):37566
frozenset({'1', '8', '2'}):39255
frozenset({' ', '7', '6'}):40017
frozenset({'4', '0', '6'}):37338
frozenset({'3', '0', '2'}):37480
frozenset({'1', '8', '6'}):39032
frozenset({' ', '9', '2'}):40240
frozenset({'0', ' ', '8'}):38590
frozenset({'4', ' ', '7'}):40399
frozenset({'4', '1', '3'}):39031
frozenset({'0', '8', '2'}):37718
frozenset({' ', '5', '8'}):40481
frozenset({'4', '2', '3'}):39097
frozenset({'4', '1', '2'}):39066
frozenset({'4', '5', '6'}):38932
frozenset({'4', '3', '6'}):38812
frozenset({'4', '5', '7'}):39457
frozenset({'4', '7', '9'}):39460
frozenset({'0', '9', '8'}):37835
frozenset({'1', '7', '2'}):39152
frozenset({'4', '1', '9'}):39242
frozenset({'5', '7', '9'}):39453
frozenset({'8', '2', '3'}):39297
frozenset({'4', ' ', '6'}):39853
frozenset({'4', '1', '0'}):37536
frozenset({'4', '0', '2'}):37551
