frozenset({'2'}):21128
frozenset({'4'}):21239
frozenset({'0'}):19269
frozenset({'9'}):21306
frozenset({'8'}):21486
frozenset({'6'}):20811
frozenset({' '}):22483
frozenset({'3'}):21021
frozenset({'5'}):21248
frozenset({'1'}):21005
frozenset({'7'}):21407
frozenset({'1', '6'}):19681
frozenset({' ', '7'}):21407
frozenset({'7', '3'}):20144
frozenset({'8', '3'}):20186
frozenset({'4', '8'}):20381
frozenset({'5', '2'}):20083
frozenset({' ', '2'}):21128
frozenset({'4', '6'}):19800
frozenset({'0', '9'}):18446
frozenset({'5', '3'}):20026
frozenset({'7', '9'}):20346
frozenset({'4', '5'}):20169
frozenset({'4', '3'}):20046
frozenset({' ', '8'}):21486
frozenset({'6', '2'}):19737
frozenset({'4', '2'}):20039
frozenset({'8', '6'}):20026
frozenset({'1', '3'}):19780
frozenset({' ', '5'}):21248
frozenset({'1', '9'}):20068
frozenset({' ', '3'}):21021
frozenset({'4', ' '}):21239
frozenset({'1', '2'}):19895
frozenset({'5', '8'}):20426
frozenset({'3', '2'}):19932
frozenset({'0', '5'}):18427
frozenset({'7', '6'}):19964
frozenset({' ', '1'}):21005
frozenset({'5', '7'}):20339
frozenset({' ', '9'}):21306
frozenset({'9', '3'}):19999
frozenset({'0', '7'}):18495
frozenset({'4', '0'}):18415
frozenset({'5', '9'}):20227
frozenset({'7', '8'}):20535
frozenset({'0', '8'}):18538
frozenset({'9', '8'}):20422
frozenset({'0', '2'}):18273
frozenset({'1', '7'}):20105
frozenset({'4', '1'}):20025
frozenset({'8', '2'}):20323
frozenset({'4', '9'}):20206
frozenset({'0', '6'}):18020
frozenset({'0', ' '}):19269
frozenset({'5', '1'}):19998
frozenset({'4', '7'}):20344
frozenset({'9', '2'}):20185
frozenset({'1', '8'}):20168
frozenset({'7', '2'}):20209
frozenset({' ', '6'}):20811
frozenset({'3', '6'}):19587
frozenset({'0', '1'}):18186
frozenset({'9', '6'}):19865
frozenset({'0', '3'}):18259
frozenset({'5', '6'}):19759
frozenset({'0', '1', '3'}):17301
frozenset({'9', '8', '3'}):19245
frozenset({'5', '7', '8'}):19614
frozenset({'7', '8', '6'}):19275
frozenset({'4', '8', '3'}):19308
frozenset({'5', ' ', '2'}):20083
frozenset({' ', '1', '5'}):19998
frozenset({'0', '5', '6'}):17289
frozenset({' ', '1', '6'}):19681
frozenset({'5', '9', '6'}):18936
frozenset({'7', '9', '3'}):19216
frozenset({'5', '7', '3'}):19274
frozenset({' ', '9', '8'}):20422
frozenset({'1', '2', '6'}):18764
frozenset({'6', '7', '2'}):18982
frozenset({'5', '7', '2'}):19287
frozenset({'0', '8', '3'}):17612
frozenset({'3', '9', '2'}):19083
frozenset({'1', '9', '3'}):18960
frozenset({'0', ' ', '7'}):18495
frozenset({'1', '7', '6'}):18946
frozenset({'0', ' ', '5'}):18427
frozenset({'0', ' ', '6'}):18020
frozenset({'5', '1', '6'}):18786
frozenset({'4', '9', '2'}):19200
frozenset({'4', '0', '8'}):17774
frozenset({'5', '6', '3'}):18723
frozenset({'7', '9', '6'}):19104
frozenset({' ', '1', '3'}):19780
frozenset({'0', '5', '7'}):17750
frozenset({'0', '3', '6'}):17137
frozenset({'4', '5', '8'}):19445
frozenset({'3', ' ', '2'}):19932
frozenset({'4', '8', '6'}):19107
frozenset({' ', '5', '6'}):19759
frozenset({' ', '9', '6'}):19865
frozenset({' ', '6', '3'}):19587
frozenset({'4', '8', '2'}):19323
frozenset({' ', '7', '9'}):20346
frozenset({'5', ' ', '3'}):20026
frozenset({'0', '7', '2'}):17595
frozenset({'4', '1', '8'}):19274
frozenset({'1', '9', '8'}):19315
frozenset({'9', '8', '2'}):19464
frozenset({'4', ' ', '3'}):20046
frozenset({'0', ' ', '1'}):18186
frozenset({'0', ' ', '2'}):18273
frozenset({'5', '1', '2'}):19026
frozenset({'4', '7', '2'}):19273
frozenset({'5', '1', '3'}):18954
frozenset({'4', '7', '3'}):19286
frozenset({'4', '5', '9'}):19264
frozenset({'4', '9', '3'}):19132
frozenset({'6', '9', '2'}):18966
frozenset({'5', '6', '2'}):18801
frozenset({'7', '2', '3'}):19164
frozenset({'0', '5', '8'}):17825
frozenset({' ', '7', '8'}):20535
frozenset({'4', '1', '6'}):18836
frozenset({'7', '8', '2'}):19494
frozenset({'0', '7', '9'}):17749
frozenset({'4', ' ', '9'}):20206
frozenset({'1', '8', '3'}):19056
frozenset({'5', '9', '8'}):19488
frozenset({'0', '6', '2'}):17208
frozenset({'0', '4', '7'}):17743
frozenset({'4', '5', '0'}):17681
frozenset({'0', '4', '9'}):17671
frozenset({'6', '8', '3'}):18915
frozenset({'4', ' ', '2'}):20039
frozenset({' ', '6', '2'}):19737
frozenset({'0', '1', '2'}):17347
frozenset({'5', '8', '2'}):19407
frozenset({'4', '1', '7'}):19249
frozenset({' ', '8', '6'}):20026
frozenset({'3', '5', '2'}):19065
frozenset({'7', '9', '2'}):19338
frozenset({'4', '9', '6'}):18944
frozenset({'0', ' ', '3'}):18259
frozenset({'3', '1', '6'}):18606
frozenset({' ', '8', '2'}):20323
frozenset({'4', '7', '6'}):19096
frozenset({'4', '5', '3'}):19153
frozenset({'0', '8', '6'}):17453
