frozenset({'2'}):56181
frozenset({'4'}):56290
frozenset({'0'}):54303
frozenset({'9'}):56359
frozenset({'8'}):56539
frozenset({'6'}):55858
frozenset({' '}):57536
frozenset({'3'}):56069
frozenset({'5'}):56301
frozenset({'1'}):56058
frozenset({'7'}):56460
frozenset({'1', '6'}):54728
frozenset({' ', '7'}):56460
frozenset({'7', '3'}):55192
frozenset({'8', '3'}):55234
frozenset({'4', '8'}):55432
frozenset({'5', '2'}):55136
frozenset({' ', '2'}):56181
frozenset({'4', '6'}):54845
frozenset({'0', '9'}):53480
frozenset({'5', '3'}):55074
frozenset({'7', '9'}):55399
frozenset({'4', '5'}):55220
frozenset({'4', '3'}):55092
frozenset({' ', '8'}):56539
frozenset({'6', '2'}):54784
frozenset({'4', '2'}):55090
frozenset({'8', '6'}):55073
frozenset({'1', '3'}):54828
frozenset({' ', '5'}):56301
frozenset({'1', '9'}):55121
frozenset({' ', '3'}):56069
frozenset({'4', ' '}):56290
frozenset({'1', '2'}):54948
frozenset({'5', '8'}):55479
frozenset({'3', '2'}):54980
frozenset({'0', '5'}):53461
frozenset({'7', '6'}):55011
frozenset({' ', '1'}):56058
frozenset({'5', '7'}):55392
frozenset({' ', '9'}):56359
frozenset({'9', '3'}):55047
frozenset({'0', '7'}):53529
frozenset({'4', '0'}):53447
frozenset({'5', '9'}):55280
frozenset({'7', '8'}):55588
frozenset({'0', '8'}):53572
frozenset({'9', '8'}):55475
frozenset({'0', '2'}):53307
frozenset({'1', '7'}):55158
frozenset({'4', '1'}):55076
frozenset({'8', '2'}):55376
frozenset({'4', '9'}):55257
frozenset({'0', '6'}):53048
frozenset({'0', ' '}):54303
frozenset({'5', '1'}):55051
frozenset({'4', '7'}):55395
frozenset({'9', '2'}):55238
frozenset({'1', '8'}):55221
frozenset({'7', '2'}):55262
frozenset({' ', '6'}):55858
frozenset({'3', '6'}):54629
frozenset({'0', '1'}):53220
frozenset({'9', '6'}):54912
frozenset({'0', '3'}):53288
frozenset({'5', '6'}):54806
frozenset({'0', '1', '3'}):52330
frozenset({'9', '8', '3'}):54293
frozenset({'5', '7', '8'}):54667
frozenset({'7', '8', '6'}):54322
frozenset({'4', '8', '3'}):54354
frozenset({'5', ' ', '2'}):55136
frozenset({' ', '1', '5'}):55051
frozenset({'0', '5', '6'}):52317
frozenset({' ', '1', '6'}):54728
frozenset({'5', '9', '6'}):53983
frozenset({'7', '9', '3'}):54264
frozenset({'5', '7', '3'}):54322
frozenset({' ', '9', '8'}):55475
frozenset({'1', '2', '6'}):53811
frozenset({'6', '7', '2'}):54029
frozenset({'5', '7', '2'}):54340
frozenset({'0', '8', '3'}):52641
frozenset({'3', '9', '2'}):54131
frozenset({'1', '9', '3'}):54008
frozenset({'0', ' ', '7'}):53529
frozenset({'1', '7', '6'}):53993
frozenset({'0', ' ', '5'}):53461
frozenset({'0', ' ', '6'}):53048
frozenset({'5', '1', '6'}):53833
frozenset({'4', '9', '2'}):54251
frozenset({'4', '0', '8'}):52806
frozenset({'5', '6', '3'}):53765
frozenset({'7', '9', '6'}):54151
frozenset({' ', '1', '3'}):54828
frozenset({'0', '5', '7'}):52784
frozenset({'0', '3', '6'}):52160
frozenset({'4', '5', '8'}):54496
frozenset({'3', ' ', '2'}):54980
frozenset({'4', '8', '6'}):54152
frozenset({' ', '5', '6'}):54806
frozenset({' ', '9', '6'}):54912
frozenset({' ', '6', '3'}):54629
frozenset({'4', '8', '2'}):54374
frozenset({' ', '7', '9'}):55399
frozenset({'5', ' ', '3'}):55074
frozenset({'0', '7', '2'}):52629
frozenset({'4', '1', '8'}):54325
frozenset({'1', '9', '8'}):54368
frozenset({'9', '8', '2'}):54517
frozenset({'4', ' ', '3'}):55092
frozenset({'0', ' ', '1'}):53220
frozenset({'0', ' ', '2'}):53307
frozenset({'5', '1', '2'}):54079
frozenset({'4', '7', '2'}):54324
frozenset({'5', '1', '3'}):54002
frozenset({'4', '7', '3'}):54332
frozenset({'4', '5', '9'}):54315
frozenset({'4', '9', '3'}):54178
frozenset({'6', '9', '2'}):54013
frozenset({'5', '6', '2'}):53848
frozenset({'7', '2', '3'}):54212
frozenset({'0', '5', '8'}):52859
frozenset({' ', '7', '8'}):55588
frozenset({'4', '1', '6'}):53881
frozenset({'7', '8', '2'}):54547
frozenset({'0', '7', '9'}):52783
frozenset({'4', ' ', '9'}):55257
frozenset({'1', '8', '3'}):54104
frozenset({'5', '9', '8'}):54541
frozenset({'0', '6', '2'}):52236
frozenset({'0', '4', '7'}):52775
frozenset({'4', '5', '0'}):52713
frozenset({'0', '4', '9'}):52703
frozenset({'6', '8', '3'}):53957
frozenset({'4', ' ', '2'}):55090
frozenset({' ', '6', '2'}):54784
frozenset({'0', '1', '2'}):52381
frozenset({'5', '8', '2'}):54460
frozenset({'4', '1', '7'}):54300
