frozenset({'2'}):56422
frozenset({'4'}):56531
frozenset({'0'}):54544
frozenset({'9'}):56600
frozenset({'8'}):56780
frozenset({'6'}):56099
frozenset({' '}):57777
frozenset({'3'}):56310
frozenset({'5'}):56542
frozenset({'1'}):56299
frozenset({'7'}):56701
frozenset({'1', '6'}):54969
frozenset({' ', '7'}):56701
frozenset({'7', '3'}):55433
frozenset({'8', '3'}):55475
frozenset({'4', '8'}):55673
frozenset({'5', '2'}):55377
frozenset({' ', '2'}):56422
frozenset({'4', '6'}):55086
frozenset({'0', '9'}):53721
frozenset({'5', '3'}):55315
frozenset({'7', '9'}):55640
frozenset({'4', '5'}):55461
frozenset({'4', '3'}):55333
frozenset({' ', '8'}):56780
frozenset({'6', '2'}):55025
frozenset({'4', '2'}):55331
frozenset({'8', '6'}):55314
frozenset({'1', '3'}):55069
frozenset({' ', '5'}):56542
frozenset({'1', '9'}):55362
frozenset({' ', '3'}):56310
frozenset({'4', ' '}):56531
frozenset({'1', '2'}):55189
frozenset({'5', '8'}):55720
frozenset({'3', '2'}):55221
frozenset({'0', '5'}):53702
frozenset({'7', '6'}):55252
frozenset({' ', '1'}):56299
frozenset({'5', '7'}):55633
frozenset({' ', '9'}):56600
frozenset({'9', '3'}):55288
frozenset({'0', '7'}):53770
frozenset({'4', '0'}):53688
frozenset({'5', '9'}):55521
frozenset({'7', '8'}):55829
frozenset({'0', '8'}):53813
frozenset({'9', '8'}):55716
frozenset({'0', '2'}):53548
frozenset({'1', '7'}):55399
frozenset({'4', '1'}):55317
frozenset({'8', '2'}):55617
frozenset({'4', '9'}):55498
frozenset({'0', '6'}):53289
frozenset({'0', ' '}):54544
frozenset({'5', '1'}):55292
frozenset({'4', '7'}):55636
frozenset({'9', '2'}):55479
frozenset({'1', '8'}):55462
frozenset({'7', '2'}):55503
frozenset({' ', '6'}):56099
frozenset({'3', '6'}):54870
frozenset({'0', '1'}):53461
frozenset({'9', '6'}):55153
frozenset({'0', '3'}):53529
frozenset({'5', '6'}):55047
frozenset({'0', '1', '3'}):52571
frozenset({'9', '8', '3'}):54534
frozenset({'5', '7', '8'}):54908
frozenset({'7', '8', '6'}):54563
frozenset({'4', '8', '3'}):54595
frozenset({'5', ' ', '2'}):55377
frozenset({' ', '1', '5'}):55292
frozenset({'0', '5', '6'}):52558
frozenset({' ', '1', '6'}):54969
frozenset({'5', '9', '6'}):54224
frozenset({'7', '9', '3'}):54505
frozenset({'5', '7', '3'}):54563
frozenset({' ', '9', '8'}):55716
frozenset({'1', '2', '6'}):54052
frozenset({'6', '7', '2'}):54270
frozenset({'5', '7', '2'}):54581
frozenset({'0', '8', '3'}):52882
frozenset({'3', '9', '2'}):54372
frozenset({'1', '9', '3'}):54249
frozenset({'0', ' ', '7'}):53770
frozenset({'1', '7', '6'}):54234
frozenset({'0', ' ', '5'}):53702
frozenset({'0', ' ', '6'}):53289
frozenset({'5', '1', '6'}):54074
frozenset({'4', '9', '2'}):54492
frozenset({'4', '0', '8'}):53047
frozenset({'5', '6', '3'}):54006
frozenset({'7', '9', '6'}):54392
frozenset({' ', '1', '3'}):55069
frozenset({'0', '5', '7'}):53025
frozenset({'0', '3', '6'}):52401
frozenset({'4', '5', '8'}):54737
frozenset({'3', ' ', '2'}):55221
frozenset({'4', '8', '6'}):54393
frozenset({' ', '5', '6'}):55047
frozenset({' ', '9', '6'}):55153
frozenset({' ', '6', '3'}):54870
frozenset({'4', '8', '2'}):54615
frozenset({' ', '7', '9'}):55640
frozenset({'5', ' ', '3'}):55315
frozenset({'0', '7', '2'}):52870
frozenset({'4', '1', '8'}):54566
frozenset({'1', '9', '8'}):54609
frozenset({'9', '8', '2'}):54758
frozenset({'4', ' ', '3'}):55333
frozenset({'0', ' ', '1'}):53461
frozenset({'0', ' ', '2'}):53548
frozenset({'5', '1', '2'}):54320
frozenset({'4', '7', '2'}):54565
frozenset({'5', '1', '3'}):54243
frozenset({'4', '7', '3'}):54573
frozenset({'4', '5', '9'}):54556
frozenset({'4', '9', '3'}):54419
