frozenset({'2'}):26705
frozenset({'4'}):26816
frozenset({'0'}):24846
frozenset({'9'}):26883
frozenset({'8'}):27063
frozenset({'6'}):26388
frozenset({' '}):28060
frozenset({'3'}):26598
frozenset({'5'}):26825
frozenset({'1'}):26582
frozenset({'7'}):26984
frozenset({'1', '6'}):25258
frozenset({' ', '7'}):26984
frozenset({'7', '3'}):25721
frozenset({'8', '3'}):25763
frozenset({'4', '8'}):25958
frozenset({'5', '2'}):25660
frozenset({' ', '2'}):26705
frozenset({'4', '6'}):25377
frozenset({'0', '9'}):24023
frozenset({'5', '3'}):25603
frozenset({'7', '9'}):25923
frozenset({'4', '5'}):25746
frozenset({'4', '3'}):25623
frozenset({' ', '8'}):27063
frozenset({'6', '2'}):25314
frozenset({'4', '2'}):25616
frozenset({'8', '6'}):25603
frozenset({'1', '3'}):25357
frozenset({' ', '5'}):26825
frozenset({'1', '9'}):25645
frozenset({' ', '3'}):26598
frozenset({'4', ' '}):26816
frozenset({'1', '2'}):25472
frozenset({'5', '8'}):26003
frozenset({'3', '2'}):25509
frozenset({'0', '5'}):24004
frozenset({'7', '6'}):25541
frozenset({' ', '1'}):26582
frozenset({'5', '7'}):25916
frozenset({' ', '9'}):26883
frozenset({'9', '3'}):25576
frozenset({'0', '7'}):24072
frozenset({'4', '0'}):23992
frozenset({'5', '9'}):25804
frozenset({'7', '8'}):26112
frozenset({'0', '8'}):24115
frozenset({'9', '8'}):25999
frozenset({'0', '2'}):23850
frozenset({'1', '7'}):25682
frozenset({'4', '1'}):25602
frozenset({'8', '2'}):25900
frozenset({'4', '9'}):25783
frozenset({'0', '6'}):23597
frozenset({'0', ' '}):24846
frozenset({'5', '1'}):25575
frozenset({'4', '7'}):25921
frozenset({'9', '2'}):25762
frozenset({'1', '8'}):25745
frozenset({'7', '2'}):25786
frozenset({' ', '6'}):26388
frozenset({'3', '6'}):25164
frozenset({'0', '1'}):23763
frozenset({'9', '6'}):25442
frozenset({'0', '3'}):23836
frozenset({'5', '6'}):25336
frozenset({'0', '1', '3'}):22878
frozenset({'9', '8', '3'}):24822
frozenset({'5', '7', '8'}):25191
frozenset({'7', '8', '6'}):24852
frozenset({'4', '8', '3'}):24885
frozenset({'5', ' ', '2'}):25660
frozenset({' ', '1', '5'}):25575
frozenset({'0', '5', '6'}):22866
frozenset({' ', '1', '6'}):25258
frozenset({'5', '9', '6'}):24513
frozenset({'7', '9', '3'}):24793
frozenset({'5', '7', '3'}):24851
frozenset({' ', '9', '8'}):25999
frozenset({'1', '2', '6'}):24341
frozenset({'6', '7', '2'}):24559
frozenset({'5', '7', '2'}):24864
frozenset({'0', '8', '3'}):23189
frozenset({'3', '9', '2'}):24660
frozenset({'1', '9', '3'}):24537
frozenset({'0', ' ', '7'}):24072
frozenset({'1', '7', '6'}):24523
frozenset({'0', ' ', '5'}):24004
frozenset({'0', ' ', '6'}):23597
frozenset({'5', '1', '6'}):24363
frozenset({'4', '9', '2'}):24777
frozenset({'4', '0', '8'}):23351
frozenset({'5', '6', '3'}):24300
frozenset({'7', '9', '6'}):24681
frozenset({' ', '1', '3'}):25357
frozenset({'0', '5', '7'}):23327
frozenset({'0', '3', '6'}):22714
frozenset({'4', '5', '8'}):25022
frozenset({'3', ' ', '2'}):25509
frozenset({'4', '8', '6'}):24684
frozenset({' ', '5', '6'}):25336
frozenset({' ', '9', '6'}):25442
frozenset({' ', '6', '3'}):25164
frozenset({'4', '8', '2'}):24900
frozenset({' ', '7', '9'}):25923
frozenset({'5', ' ', '3'}):25603
frozenset({'0', '7', '2'}):23172
frozenset({'4', '1', '8'}):24851
frozenset({'1', '9', '8'}):24892
frozenset({'9', '8', '2'}):25041
frozenset({'4', ' ', '3'}):25623
frozenset({'0', ' ', '1'}):23763
frozenset({'0', ' ', '2'}):23850
frozenset({'5', '1', '2'}):24603
frozenset({'4', '7', '2'}):24850
frozenset({'5', '1', '3'}):24531
frozenset({'4', '7', '3'}):24863
frozenset({'4', '5', '9'}):24841
frozenset({'4', '9', '3'}):24709
