frozenset({'2'}):7969
frozenset({'4'}):8037
frozenset({'0'}):7152
frozenset({'9'}):8037
frozenset({'8'}):8132
frozenset({'6'}):7791
frozenset({' '}):8565
frozenset({'3'}):7915
frozenset({'5'}):8016
frozenset({'1'}):7911
frozenset({'7'}):8090
frozenset({'1', '6'}):7300
frozenset({' ', '7'}):8090
frozenset({'7', '3'}):7534
frozenset({'8', '3'}):7549
frozenset({'4', '8'}):7660
frozenset({'5', '2'}):7502
frozenset({' ', '2'}):7969
frozenset({'4', '6'}):7364
frozenset({'0', '9'}):6779
frozenset({'5', '3'}):7478
frozenset({'7', '9'}):7611
frozenset({'4', '5'}):7560
frozenset({'4', '3'}):7508
frozenset({' ', '8'}):8132
frozenset({'6', '2'}):7327
frozenset({'4', '2'}):7513
frozenset({'8', '6'}):7457
frozenset({'1', '3'}):7370
frozenset({' ', '5'}):8016
frozenset({'1', '9'}):7488
frozenset({' ', '3'}):7915
frozenset({'4', ' '}):8037
frozenset({'1', '2'}):7425
frozenset({'5', '8'}):7658
frozenset({'3', '2'}):7442
frozenset({'0', '5'}):6776
frozenset({'7', '6'}):7433
frozenset({' ', '1'}):7911
frozenset({'5', '7'}):7620
frozenset({' ', '9'}):8037
frozenset({'9', '3'}):7456
frozenset({'0', '7'}):6811
frozenset({'4', '0'}):6796
frozenset({'5', '9'}):7558
frozenset({'7', '8'}):7713
frozenset({'0', '8'}):6822
frozenset({'9', '8'}):7647
frozenset({'0', '2'}):6713
frozenset({'1', '7'}):7517
frozenset({'4', '1'}):7499
frozenset({'8', '2'}):7622
frozenset({'4', '9'}):7562
frozenset({'0', '6'}):6568
frozenset({'0', ' '}):7152
frozenset({'5', '1'}):7463
frozenset({'4', '7'}):7640
frozenset({'9', '2'}):7545
frozenset({'1', '8'}):7553
frozenset({'7', '2'}):7570
frozenset({' ', '6'}):7791
frozenset({'3', '6'}):7246
frozenset({'0', '1'}):6667
frozenset({'9', '6'}):7373
frozenset({'0', '3'}):6707
frozenset({'5', '6'}):7321
frozenset({'0', '1', '3'}):6282
frozenset({'9', '8', '3'}):7119
frozenset({'5', '7', '8'}):7305
frozenset({'7', '8', '6'}):7142
frozenset({'4', '8', '3'}):7182
frozenset({'5', ' ', '2'}):7502
frozenset({' ', '1', '5'}):7463
frozenset({'0', '5', '6'}):6242
frozenset({' ', '1', '6'}):7300
frozenset({'5', '9', '6'}):6959
frozenset({'7', '9', '3'}):7114
frozenset({'5', '7', '3'}):7156
frozenset({' ', '9', '8'}):7647
frozenset({'1', '2', '6'}):6902
frozenset({'6', '7', '2'}):7007
frozenset({'5', '7', '2'}):7162
frozenset({'0', '8', '3'}):6412
frozenset({'3', '9', '2'}):7059
frozenset({'1', '9', '3'}):7001
frozenset({'0', ' ', '7'}):6811
frozenset({'1', '7', '6'}):6987
frozenset({'0', ' ', '5'}):6776
frozenset({'0', ' ', '6'}):6568
frozenset({'5', '1', '6'}):6897
frozenset({'4', '9', '2'}):7127
frozenset({'4', '0', '8'}):6502
frozenset({'5', '6', '3'}):6865
frozenset({'7', '9', '6'}):7049
frozenset({' ', '1', '3'}):7370
frozenset({'0', '5', '7'}):6481
frozenset({'0', '3', '6'}):6182
frozenset({'4', '5', '8'}):7239
frozenset({'3', ' ', '2'}):7442
frozenset({'4', '8', '6'}):7063
frozenset({' ', '5', '6'}):7321
frozenset({' ', '9', '6'}):7373
frozenset({' ', '6', '3'}):7246
frozenset({'4', '8', '2'}):7196
frozenset({' ', '7', '9'}):7611
frozenset({'5', ' ', '3'}):7478
frozenset({'0', '7', '2'}):6419
frozenset({'4', '1', '8'}):7171
frozenset({'1', '9', '8'}):7162
frozenset({'9', '8', '2'}):7228
frozenset({'4', ' ', '3'}):7508
frozenset({'0', ' ', '1'}):6667
frozenset({'0', ' ', '2'}):6713
frozenset({'5', '1', '2'}):7036
frozenset({'4', '7', '2'}):7177
frozenset({'5', '1', '3'}):7004
frozenset({'4', '7', '3'}):7171
frozenset({'4', '5', '9'}):7147
frozenset({'4', '9', '3'}):7089
frozenset({'6', '9', '2'}):6987
frozenset({'5', '6', '2'}):6908
frozenset({'7', '2', '3'}):7114
frozenset({'0', '5', '8'}):6506
frozenset({' ', '7', '8'}):7713
frozenset({'4', '1', '6'}):6943
frozenset({'7', '8', '2'}):7265
frozenset({'0', '7', '9'}):6468
frozenset({'4', ' ', '9'}):7562
frozenset({'1', '8', '3'}):7056
frozenset({'5', '9', '8'}):7233
frozenset({'0', '6', '2'}):6213
frozenset({'0', '4', '7'}):6497
frozenset({'4', '5', '0'}):6465
frozenset({'0', '4', '9'}):6452
frozenset({'6', '8', '3'}):6958
frozenset({'4', ' ', '2'}):7513
frozenset({' ', '6', '2'}):7327
frozenset({'0', '1', '2'}):6297
frozenset({'5', '8', '2'}):7212
frozenset({'4', '1', '7'}):7157
frozenset({' ', '8', '6'}):7457
frozenset({'3', '5', '2'}):7060
frozenset({'7', '9', '2'}):7175
frozenset({'4', '9', '6'}):6975
frozenset({'0', ' ', '3'}):6707
frozenset({'3', '1', '6'}):6822
frozenset({' ', '8', '2'}):7622
frozenset({'4', '7', '6'}):7066
frozenset({'4', '5', '3'}):7111
frozenset({'0', '8', '6'}):6317
frozenset({' ', '1', '8'}):7553
frozenset({'1', '2', '3'}):6980
frozenset({'5', '7', '6'}):7022
frozenset({'4', ' ', '0'}):6796
frozenset({'6', '9', '3'}):6880
frozenset({'5', '9', '3'}):7065
frozenset({' ', '7', '2'}):7570
frozenset({'0', '5', '2'}):6395
frozenset({' ', '1', '2'}):7425
frozenset({'0', '1', '6'}):6197
frozenset({' ', '5', '9'}):7558
frozenset({' ', '9', '3'}):7456
frozenset({'0', '1', '7'}):6378
frozenset({' ', '5', '7'}):7620
frozenset({'7', '9', '8'}):7275
frozenset({'5', '8', '3'}):7170
frozenset({'4', '7', '8'}):7306
frozenset({'5', '1', '8'}):7156
frozenset({'0', '5', '9'}):6444
frozenset({'0', '7', '3'}):6429
frozenset({' ', '1', '9'}):7488
frozenset({'6', '8', '2'}):7044
frozenset({'0', '9', '6'}):6268
frozenset({'7', '6', '3'}):6952
frozenset({'1', '9', '2'}):7074
frozenset({'0', '1', '8'}):6383
frozenset({'4', ' ', '8'}):7660
frozenset({'3', '6', '2'}):6877
frozenset({'0', '7', '8'}):6518
frozenset({'5', '1', '7'}):7126
frozenset({'1', '7', '9'}):7132
frozenset({'1', '7', '3'}):7043
frozenset({'0', ' ', '9'}):6779
frozenset({'5', '1', '9'}):7089
frozenset({'1', '9', '6'}):6940
frozenset({'5', '9', '2'}):7123
frozenset({'4', '2', '6'}):6942
frozenset({' ', '8', '3'}):7549
frozenset({'4', '5', '2'}):7101
frozenset({'4', '5', '1'}):7099
frozenset({'0', '9', '3'}):6376
frozenset({' ', '1', '7'}):7517
frozenset({'0', '5', '3'}):6394
frozenset({'4', '5', ' '}):7560
frozenset({'0', '7', '6'}):6289
frozenset({'4', '9', '8'}):7222
frozenset({'7', '8', '3'}):7208
frozenset({'5', '8', '6'}):7032
frozenset({'9', '8', '6'}):7069
frozenset({'4', '0', '3'}):6396
frozenset({'1', '8', '2'}):7123
frozenset({' ', '7', '6'}):7433
frozenset({'4', '0', '6'}):6262
frozenset({'3', '0', '2'}):6341
frozenset({'1', '8', '6'}):7000
frozenset({' ', '9', '2'}):7545
frozenset({'0', ' ', '8'}):6822
frozenset({'4', ' ', '7'}):7640
frozenset({'4', '1', '3'}):7038
frozenset({'0', '8', '2'}):6441
frozenset({' ', '5', '8'}):7658
frozenset({'4', '2', '3'}):7072
frozenset({'4', '1', '2'}):7058
frozenset({'4', '5', '6'}):6954
frozenset({'4', '3', '6'}):6902
frozenset({'4', '5', '7'}):7224
frozenset({'4', '7', '9'}):7206
frozenset({'0', '9', '8'}):6477
frozenset({'1', '7', '2'}):7079
frozenset({'4', '1', '9'}):7112
frozenset({'5', '7', '9'}):7191
frozenset({'8', '2', '3'}):7143
frozenset({'4', ' ', '6'}):7364
frozenset({'4', '1', '0'}):6381
frozenset({'4', '0', '2'}):6391
frozenset({'1', '7', '8'}):7199
frozenset({'0', '9', '2'}):6408
frozenset({'0', '5', '1'}):6347
frozenset({' ', '7', '3'}):7534
frozenset({'0', '1', '9'}):6366
frozenset({'4', ' ', '1'}):7499
frozenset({' ', '3', '4', '5'}):7111
frozenset({' ', '4', '7', '9'}):7206
frozenset({'2', '5', '8', '6'}):6659
frozenset({' ', '0', '5', '1'}):6347
frozenset({'4', '1', '7', '9'}):6800
frozenset({'4', '1', '0', '8'}):6123
frozenset({'2', '0', '1', '8'}):6057
frozenset({' ', '1', '8', '6'}):7000
frozenset({'2', '3', '1', '9'}):6666
frozenset({'4', '5', '1', '6'}):6582
frozenset({'1', '7', '9', '8'}):6844
frozenset({' ', '2', '4', '1'}):7058
frozenset({'3', '7', '8', '6'}):6700
frozenset({'5', '9', '8', '6'}):6693
frozenset({' ', '2', '4', '7'}):7177
frozenset({'7', '9', '8', '6'}):6787
frozenset({' ', '2', '4', '5'}):7101
frozenset({'3', '0', '5', '7'}):6147
frozenset({'3', '5', '7', '6'}):6615
frozenset({' ', '3', '4', '0'}):6396
frozenset({'2', '4', '7', '9'}):6814
frozenset({' ', '5', '8', '6'}):7032
frozenset({'2', '3', '4', '5'}):6721
frozenset({'2', '5', '7', '9'}):6801
frozenset({' ', '4', '8', '6'}):7063
frozenset({' ', '3', '0', '9'}):6376
frozenset({' ', '0', '5', '7'}):6481
frozenset({' ', '3', '0', '7'}):6429
frozenset({'0', '5', '9', '8'}):6192
frozenset({'4', '0', '9', '8'}):6185
frozenset({' ', '2', '3', '9'}):7059
frozenset({'2', '0', '9', '6'}):5966
frozenset({'3', '4', '1', '8'}):6748
frozenset({' ', '2', '1', '9'}):7074
frozenset({'0', '4', '7', '9'}):6176
frozenset({' ', '4', '0', '8'}):6502
frozenset({'2', '3', '0', '6'}):5887
frozenset({' ', '2', '3', '1'}):6980
frozenset({'2', '0', '1', '9'}):6049
frozenset({'2', '3', '7', '8'}):6846
frozenset({'2', '5', '9', '8'}):6854
frozenset({' ', '4', '7', '6'}):7066
frozenset({' ', '0', '1', '9'}):6366
frozenset({'3', '4', '5', '1'}):6704
frozenset({'2', '1', '9', '6'}):6603
frozenset({'5', '1', '7', '6'}):6628
frozenset({'0', '1', '7', '8'}):6124
frozenset({' ', '3', '0', '1'}):6282
frozenset({'4', '1', '9', '6'}):6607
frozenset({'4', '5', '1', '9'}):6755
frozenset({'0', '5', '7', '6'}):6000
frozenset({'3', '0', '9', '6'}):5916
frozenset({'1', '7', '8', '6'}):6721
frozenset({'3', '7', '9', '8'}):6817
frozenset({'2', '4', '8', '6'}):6679
frozenset({' ', '5', '7', '9'}):7191
frozenset({' ', '5', '9', '8'}):7233
frozenset({'2', '4', '7', '6'}):6678
frozenset({' ', '3', '7', '8'}):7208
frozenset({' ', '4', '9', '8'}):7222
frozenset({'2', '5', '7', '6'}):6640
frozenset({'3', '4', '5', '7'}):6823
frozenset({'3', '4', '7', '9'}):6785
frozenset({'3', '4', '5', '9'}):6733
frozenset({'0', '5', '8', '6'}):6025
frozenset({' ', '2', '3', '0'}):6341
frozenset({'4', '0', '8', '6'}):6035
frozenset({'2', '0', '7', '8'}):6178
frozenset({' ', '3', '4', '7'}):7171
frozenset({'4', '5', '1', '0'}):6096
frozenset({' ', '2', '3', '6'}):6877
frozenset({'2', '0', '5', '7'}):6132
frozenset({'2', '3', '0', '9'}):6063
frozenset({'2', '0', '5', '1'}):6019
frozenset({'2', '0', '1', '6'}):5885
frozenset({' ', '0', '1', '6'}):6197
frozenset({'1', '7', '9', '6'}):6653
frozenset({'5', '1', '7', '9'}):6776
frozenset({'3', '5', '1', '7'}):6721
frozenset({' ', '5', '1', '8'}):7156
frozenset({'2', '4', '1', '8'}):6775
frozenset({'0', '5', '7', '9'}):6167
frozenset({'2', '4', '9', '8'}):6839
frozenset({' ', '5', '7', '6'}):7022
frozenset({'4', '0', '8', '7'}):6235
frozenset({' ', '2', '0', '6'}):6213
frozenset({'3', '0', '9', '8'}):6100
frozenset({'0', '5', '7', '8'}):6239
frozenset({' ', '2', '3', '8'}):7143
frozenset({'3', '4', '7', '6'}):6647
frozenset({' ', '2', '5', '8'}):7212
frozenset({'4', '7', '9', '6'}):6705
frozenset({'3', '4', '5', '6'}):6554
frozenset({'2', '3', '5', '7'}):6781
frozenset({' ', '3', '8', '6'}):6958
frozenset({' ', '0', '5', '4'}):6465
frozenset({'3', '5', '9', '6'}):6534
frozenset({'2', '3', '5', '8'}):6802
frozenset({'2', '0', '5', '6'}):5925
frozenset({'2', '3', '1', '8'}):6711
frozenset({' ', '2', '3', '7'}):7114
frozenset({'4', '7', '8', '6'}):6799
frozenset({' ', '2', '5', '9'}):7123
frozenset({'4', '3', '0', '1'}):6027
frozenset({'3', '4', '1', '6'}):6529
frozenset({'2', '4', '1', '7'}):6759
frozenset({'2', '1', '7', '6'}):6620
frozenset({' ', '1', '7', '6'}):6987
frozenset({' ', '5', '1', '7'}):7126
frozenset({' ', '3', '5', '7'}):7156
frozenset({'0', '5', '1', '9'}):6075
frozenset({'3', '0', '5', '1'}):6009
frozenset({'1', '9', '8', '6'}):6666
frozenset({'2', '3', '4', '0'}):6056
frozenset({'0', '5', '9', '6'}):5975
frozenset({' ', '2', '0', '5'}):6395
frozenset({' ', '2', '0', '9'}):6408
frozenset({'3', '0', '8', '6'}):5955
frozenset({' ', '2', '0', '4'}):6391
frozenset({' ', '0', '5', '6'}):6242
frozenset({' ', '3', '4', '8'}):7182
frozenset({'0', '9', '8', '6'}):6038
frozenset({' ', '3', '9', '8'}):7119
frozenset({'2', '3', '8', '6'}):6627
frozenset({'2', '0', '5', '9'}):6115
frozenset({'2', '5', '1', '8'}):6773
frozenset({'3', '0', '4', '6'}):5913
frozenset({'0', '4', '9', '6'}):5983
frozenset({'4', '5', '1', '8'}):6810
frozenset({'3', '4', '5', '8'}):6829
frozenset({' ', '2', '5', '6'}):6908
frozenset({'4', '7', '9', '8'}):6908
frozenset({'2', '9', '8', '6'}):6727
frozenset({' ', '4', '5', '7'}):7224
frozenset({' ', '3', '4', '9'}):7089
frozenset({' ', '2', '1', '8'}):7123
frozenset({'3', '4', '1', '9'}):6697
frozenset({'2', '4', '1', '6'}):6580
frozenset({' ', '4', '1', '8'}):7171
frozenset({'2', '1', '7', '9'}):6755
frozenset({' ', '1', '7', '9'}):7132
frozenset({' ', '0', '7', '8'}):6518
frozenset({'3', '1', '9', '8'}):6710
frozenset({'2', '3', '4', '8'}):6796
frozenset({'0', '5', '1', '6'}):5905
frozenset({'0', '1', '7', '9'}):6099
frozenset({' ', '7', '9', '6'}):7049
frozenset({'2', '4', '5', '8'}):6830
frozenset({'3', '5', '8', '6'}):6612
frozenset({'4', '2', '0', '1'}):6037
frozenset({'3', '9', '8', '6'}):6612
frozenset({' ', '5', '1', '6'}):6897
frozenset({' ', '3', '1', '7'}):7043
frozenset({'3', '7', '9', '6'}):6612
frozenset({'2', '3', '5', '9'}):6710
frozenset({' ', '0', '5', '9'}):6444
frozenset({'4', '5', '0', '8'}):6215
frozenset({'2', '4', '7', '3'}):6786
frozenset({'2', '3', '9', '8'}):6784
frozenset({' ', '2', '5', '7'}):7162
frozenset({'2', '3', '0', '1'}):5976
frozenset({'4', '5', '8', '6'}):6688
frozenset({'4', '9', '8', '6'}):6704
frozenset({' ', '2', '7', '9'}):7175
frozenset({'3', '4', '5', '0'}):6117
frozenset({' ', '4', '1', '7'}):7157
frozenset({'3', '4', '0', '9'}):6091
frozenset({'4', '1', '9', '8'}):6815
frozenset({'2', '0', '7', '6'}):5960
frozenset({' ', '2', '1', '7'}):7079
frozenset({' ', '3', '4', '6'}):6902
frozenset({'4', '5', '1', '7'}):6804
frozenset({' ', '1', '7', '8'}):7199
frozenset({'2', '4', '1', '9'}):6735
frozenset({'5', '1', '9', '6'}):6581
frozenset({'3', '0', '1', '8'}):6023
frozenset({'2', '5', '1', '7'}):6734
frozenset({'3', '5', '1', '8'}):6732
frozenset({'2', '4', '5', '0'}):6108
frozenset({'3', '1', '8', '6'}):6558
frozenset({'0', '1', '9', '6'}):5934
frozenset({'0', '1', '7', '6'}):5951
frozenset({'3', '5', '9', '8'}):6779
frozenset({' ', '5', '1', '9'}):7089
frozenset({'2', '0', '5', '8'}):6166
frozenset({'2', '0', '9', '8'}):6158
frozenset({'2', '3', '9', '6'}):6567
frozenset({'2', '3', '5', '6'}):6530
frozenset({' ', '0', '7', '6'}):6289
frozenset({' ', '0', '9', '6'}):6268
frozenset({'4', '5', '7', '9'}):6835
frozenset({' ', '2', '8', '6'}):7044
frozenset({' ', '2', '0', '7'}):6419
frozenset({' ', '3', '5', '8'}):7170
frozenset({' ', '2', '7', '6'}):7007
frozenset({'4', '5', '9', '8'}):6854
frozenset({'4', '1', '8', '6'}):6667
frozenset({'2', '3', '0', '5'}):6068
frozenset({'2', '0', '7', '9'}):6127
frozenset({'2', '5', '1', '6'}):6541
frozenset({'2', '4', '5', '1'}):6703
frozenset({'3', '1', '9', '6'}):6504
frozenset({' ', '4', '0', '1'}):6381
frozenset({'3', '1', '7', '6'}):6560
frozenset({' ', '2', '0', '1'}):6297
frozenset({'3', '4', '1', '7'}):6745
frozenset({' ', '2', '3', '4'}):7072
frozenset({' ', '0', '9', '8'}):6477
frozenset({'3', '1', '7', '8'}):6761
frozenset({' ', '0', '5', '8'}):6506
frozenset({' ', '0', '4', '7'}):6497
frozenset({'2', '0', '8', '6'}):5994
frozenset({'2', '3', '4', '9'}):6720
frozenset({'3', '4', '0', '8'}):6133
frozenset({' ', '9', '8', '6'}):7069
frozenset({'2', '4', '5', '7'}):6807
frozenset({' ', '0', '7', '9'}):6468
frozenset({'4', '5', '9', '6'}):6614
frozenset({' ', '3', '0', '5'}):6394
