frozenset({'2'}):61557
frozenset({'4'}):61666
frozenset({'0'}):59679
frozenset({'9'}):61735
frozenset({'8'}):61915
frozenset({'6'}):61234
frozenset({' '}):62912
frozenset({'3'}):61445
frozenset({'5'}):61677
frozenset({'1'}):61434
frozenset({'7'}):61836
frozenset({'1', '6'}):60104
frozenset({' ', '7'}):61836
frozenset({'7', '3'}):60568
frozenset({'8', '3'}):60610
frozenset({'4', '8'}):60808
frozenset({'5', '2'}):60512
frozenset({' ', '2'}):61557
frozenset({'4', '6'}):60221
frozenset({'0', '9'}):58856
frozenset({'5', '3'}):60450
frozenset({'7', '9'}):60775
frozenset({'4', '5'}):60596
frozenset({'4', '3'}):60468
frozenset({' ', '8'}):61915
frozenset({'6', '2'}):60160
frozenset({'4', '2'}):60466
frozenset({'8', '6'}):60449
frozenset({'1', '3'}):60204
frozenset({' ', '5'}):61677
frozenset({'1', '9'}):60497
frozenset({' ', '3'}):61445
frozenset({'4', ' '}):61666
frozenset({'1', '2'}):60324
frozenset({'5', '8'}):60855
frozenset({'3', '2'}):60356
frozenset({'0', '5'}):58837
frozenset({'7', '6'}):60387
frozenset({' ', '1'}):61434
frozenset({'5', '7'}):60768
frozenset({' ', '9'}):61735
frozenset({'9', '3'}):60423
frozenset({'0', '7'}):58905
frozenset({'4', '0'}):58823
frozenset({'5', '9'}):60656
frozenset({'7', '8'}):60964
frozenset({'0', '8'}):58948
frozenset({'9', '8'}):60851
frozenset({'0', '2'}):58683
frozenset({'1', '7'}):60534
frozenset({'4', '1'}):60452
frozenset({'8', '2'}):60752
frozenset({'4', '9'}):60633
frozenset({'0', '6'}):58424
frozenset({'0', ' '}):59679
frozenset({'5', '1'}):60427
frozenset({'4', '7'}):60771
frozenset({'9', '2'}):60614
frozenset({'1', '8'}):60597
frozenset({'7', '2'}):60638
frozenset({' ', '6'}):61234
frozenset({'3', '6'}):60005
frozenset({'0', '1'}):58596
frozenset({'9', '6'}):60288
frozenset({'0', '3'}):58664
frozenset({'5', '6'}):60182
frozenset({'0', '1', '3'}):57706
frozenset({'9', '8', '3'}):59669
frozenset({'5', '7', '8'}):60043
frozenset({'7', '8', '6'}):59698
frozenset({'4', '8', '3'}):59730
frozenset({'5', ' ', '2'}):60512
frozenset({' ', '1', '5'}):60427
frozenset({'0', '5', '6'}):57693
frozenset({' ', '1', '6'}):60104
frozenset({'5', '9', '6'}):59359
frozenset({'7', '9', '3'}):59640
frozenset({'5', '7', '3'}):59698
frozenset({' ', '9', '8'}):60851
frozenset({'1', '2', '6'}):59187
frozenset({'6', '7', '2'}):59405
frozenset({'5', '7', '2'}):59716
frozenset({'0', '8', '3'}):58017
frozenset({'3', '9', '2'}):59507
frozenset({'1', '9', '3'}):59384
frozenset({'0', ' ', '7'}):58905
frozenset({'1', '7', '6'}):59369
frozenset({'0', ' ', '5'}):58837
frozenset({'0', ' ', '6'}):58424
frozenset({'5', '1', '6'}):59209
frozenset({'4', '9', '2'}):59627
frozenset({'4', '0', '8'}):58182
frozenset({'5', '6', '3'}):59141
frozenset({'7', '9', '6'}):59527
frozenset({' ', '1', '3'}):60204
frozenset({'0', '5', '7'}):58160
frozenset({'0', '3', '6'}):57536
frozenset({'4', '5', '8'}):59872
frozenset({'3', ' ', '2'}):60356
frozenset({'4', '8', '6'}):59528
frozenset({' ', '5', '6'}):60182
frozenset({' ', '9', '6'}):60288
frozenset({' ', '6', '3'}):60005
frozenset({'4', '8', '2'}):59750
frozenset({' ', '7', '9'}):60775
frozenset({'5', ' ', '3'}):60450
frozenset({'0', '7', '2'}):58005
frozenset({'4', '1', '8'}):59701
frozenset({'1', '9', '8'}):59744
frozenset({'9', '8', '2'}):59893
frozenset({'4', ' ', '3'}):60468
frozenset({'0', ' ', '1'}):58596
frozenset({'0', ' ', '2'}):58683
frozenset({'5', '1', '2'}):59455
frozenset({'4', '7', '2'}):59700
frozenset({'5', '1', '3'}):59378
frozenset({'4', '7', '3'}):59708
frozenset({'4', '5', '9'}):59691
frozenset({'4', '9', '3'}):59554
